Character,Line
DAVOS,Thank you Ser Alliser. Well discuss amongst ourselves and come back to you with an answer.ALLISER THORNE and his men leave.
DAVOS,Boys Ive been running from men like that ll my life. In my learned opinion we open that door --
NIGHTS WATCHMAN #1,And theyll slaughter us all.
NIGHTS WATCHMAN #2,They want to come in theyre gonna come in.
DAVOS,Aye but we dont need to make it easy for them.
NIGHTS WATCHMAN #2,Edd is our only chance.
NIGHTS WATCHMAN #1,Its a sad fucking statement if Dolorous Edd is our only chance.
DAVOS,Theres always the Red Woman.
NIGHTS WATCHMAN #1,Whats one redhead gonna do against 40 armed men?
DAVOS,You havent seen her do what Ive seen her do.CUT TO: CASTLE BLACK - MELISANDRES CHAMBERMELISANDRE is sitting at the edge of her bed by a fire. She looks across the room at a small mirror standing on a table then walks over to it. MELISANDRE gazes into the mirror then disrobes. She removes her collar. The gemstone in its center glimmers. She places the collar on the table beside the mirror. The mirrors reflection reveals that her appearance has changed to that of an en extremely elderly woman. MELISANDRE continues to stare at herself in the mirror then walks back over to the bed and gets under the covers.
BRAN,Thats my father. And my Uncle Benjen.YOUNG NED : Keep your shield up or Ill ring your head like a bell.YOUNG NED and YOUNG BENJEN begin sparring again. BRAN looks around the commons at the citizens of Winterfell going about their business.
BRAN,They were all so happy.
THREE-EYED RAVEN,So were you once.YOUNG LYAN rides into the courtyard on a horse. She circles around YOUNG NED and YOUNG BENJEN.
YOUNG NED,Stop showing off.
YOUNG BENJEN,Lyanna!
BRAN,My Aunt Lyanna. Ive seen her statue in the crypt. My father never talked about her.Closeup on THREE-EYED RAVEN. He turns to look at BRAN but BRAN has already walked away. BRAN walks closer to the group. YOUNG LYAN is being helped off her horse by YOUNG HODOR.
YOUNG BENJEN,Would you get out of here? Were sparring.
YOUNG LYANNA,Who are you gonna spar with when Ned goes off to the Eyrie?
YOUNG BENJEN,I dont know.YOUNG LYAN turns and looks at YOUNG HODOR.
YOUNG LYANNA,What about him?YOUNG NED: Wylis come here.BRAN turns to look at YOUNG HODOR. THREE-EYED RAVEN reaches BRANs side.
BRAN,Hodor?YOUNG LYAN walks over to YOUNG HODOR with a wooden sword and shield.
YOUNG BENJEN,But hes got giants blood.
YOUNG NED,And youve got training. Sounds like a fair match to me.
YOUNG LYANNA,Benjen always lifts his chin when hes about to charge.YOUNG HODOR takes the sword and shield.
YOUNG HODOR,And lowers it when hes going to dodge my lady.
BRAN,Hodor talks?YOUNG HODOR walks over to YOUNG BENJEN. They both ready to commence sparring but stop when N appears.
NAN,You leave the fighting to the little lords Wylis. Come along now. Its no place for you.N takes YOUNG HODOR by the ear and leads him away.
YOUNG NED,Oh Nan look at the size of him. If he ever learned to fight hed be unstoppable.
NAN,Well hes never going to learn to fight because hes a stable boy. So leave him be.
THREE-EYED RAVEN,It is time to go.
BRAN,Please a little longer.THREE-EYED RAVEN touches BRAN on the shoulder.CUT TO: GREAT WEIRWOOD TREE - CAVEBRAN is released from the vision. He gasps then lets go of the root. The white fades from his eyes. A CHILD OF THE FOREST is sitting nearby staring at him. He props himself up on his wrists and looks at THREE-EYED RAVEN.
BRAN,You finally show me something I care about and then you drag me away.
THREE-EYED RAVEN,It is beautiful beneath the sea but if you stay too long youll drown.
BRAN,I wasnt drowning. I was home.CHILD OF THE FOREST and THREE-EYED RAVEN exchange a glance. BRAN turns to HODOR who is sitting with his back against a wall.
BRAN,Wylis.
HODOR,Hodor.
BRAN,I saw you as a boy. You could talk. What happened?
HODOR,Hodor.
BRAN,Wheres Meera?
HODOR,Hodor.HODOR carries BRAN outside and sets him down in the snow. MEERA is sitting in the snow at the base of the great weirwood staring out at the tundra.
BRAN,You shouldnt be here. Its not safe outside the cave.
MEERA,Its not safe anywhere.
BRAN,I saw that Hodor wasnt always Hodor.
HODOR,Hodor.
BRAN,His real name is Wylis. And he could talk and fight and -- and then --MEERA turns and looks at BRAN.
BRAN,Whats wrong?MEERA casts her eyes down and looks away.
BRAN,The Three-Eyed Raven says theres a war coming.
MEERA,And were going to fight it in there.MEERA scoffs and turns away. HODOR picks BRAN up and carries him back inside. A side view of MEERA reveals the same CHILD OF THE FOREST who was watching BRAN sitting among some stones and frozen shrubbery..
CHILD OF THE FOREST,Brandon Stark needs you.
MEERA,For what? I sit in there and I watch him have his visions and nothing ever happens.
CHILD OF THE FOREST,He isnt going to stay there forever. And out there he needs you.
ALLISER THORNE,Its time Ser Davos. Open the door and the men inside can rejoin their brothers in peace. Well even set the wolf free north of the Wall where it belongs. Nobody needs to die tonight.DAVOS turns to address the Nights Watch faithfuls.
DAVOS,Ive never been much of a fighter.DAVOS walks over to Longclaw JON SNOWs sword and picks it up.
DAVOS,Apologies for what youre about to see.DAVOS unsheathes Longclaw. The faithfuls follow suit drawing their own blades.ALLISER THORNE turns to address a Nights Watchman.
ALLISER THORNE,Come on.The Nights Watchman lifts and large hammer and walks over to the door. He begins slamming the hammer against the door repeatedly. GHOST begins to growl and bark. DAVOS and company ready themselves for battle. After a number of swings the Nights Watchman with the hammer breaks a hole in the door. A loud thudding can be heard somewhere behind ALLISER THORNE and company. They turn to see what the noise is. The thudding is coming from one of the courtyards main gates. WUN WUN breaks down the gate and the Wildlings led by TORMUND and DOLOROUS EDD rush into the courtyard. The Nights Watch loyal to ALLISER THORNE have bows drawn at the Wildlings but do not fire. They back up slowly.
ALLISER THORNE,Attack!ALLISER THORNE draws his sword. A Nights Watchman charged TORMUND. TORMUND cuts him down. The other Nights Watch members do not retaliate.
ALLISER THORNE,Fight you cowards!A Nights Watchman on a balcony shoots WUN WUN in the shoulder with a crossbow bolt. WUN WUN turns to face the man then grabs him by the legs slams him against a wall
ALLISER THORNE,You fucking traitor.
DOLOROUS EDD,The only traitors here are the ones who shoved their knives into their Lord Commanders heart.
ALLISER THORNE,For thousands of years the Nights Watch has held Castle Black against the Wildlings.
TORMUND,Until you.OLLY shouts and charges at TORMUND with his sword. TORMUND grabs OLLY and disarms him then tosses him to another man who restrains him. Two men take ALLISER THORNE by the arms.
DOLOROUS EDD,Throw them into the cells where they belong.The men drag ALLISER THORNE OLLY and the Nights Watch betrayers away. TORMUND DOLOROUS EDD
TORMUND,Took a lot of knives. Ill have my men get the wood for a fire. Bodies to burn.
STORYTELLER,Right so there she is high and mighty Queen Cersei tits and ass jiggling in the breeze.The commoners laugh.
STORYTELLER,All of a sudden she looks my way. Gives me a little smile like <93>Well?<94> So all right you know
CERSEI,Get out of my way.
KINGS SOLDIER,Kings orders Your Grace.
CERSEI,What are the kings orders?
KINGS SOLDIER,He would like you to remain in the Red Keep Your Grace for your own protection.
CERSEI,Youre barring me from attending my own daughters funeral?
KINGS SOLDIER,Forgive me Your Grace by the kings command I cannot let you pass.
CERSEI,I would like to speak to my son.
KINGS SOLDIER,He has left the Red Keep Your Grace.GREGOR grabs the hilt of his sword. The kings soldiers also take hold of their weapons. GREGOR looks at CERSEI. CERSEI turns and walks back up the stairs. GREGOR follows.CUT TO: KING'S LANDING - GREAT SEPT OF BAELORTOMMEN and JAIME are standing beside the body of MYRCELLA. She has funeral stones over her eyes with painted eyes on them.
TOMMEN,She grew up.
JAIME,Almost.
TOMMEN,Have we caught Prince Trystanes killers? I expect it was Mother.
JAIME,Your mother wouldnt do that.
TOMMEN,Yes she would.
JAIME,Are you angry with her?
TOMMEN,Of course not.
JAIME,Then why didnt you let her come? She has every right to be here.
TOMMEN,They told me she wouldnt be allowed in the sept. If she had tried --
JAIME,Theyre not putting your mother in a cell ever again. Not while Im here. Why havent you gone to see her? Everything she endured she did it for you.
TOMMEN,Dont you think I know that? Im sorry. But I cant.
JAIME,Why not?
TOMMEN,When the Faith Militant seized her and Margaery what did I do? When they paraded her through the streets like a whore what did I do?
JAIME,We all fail sometimes.
TOMMEN,The king is supposed to be the Protector of the Realm. If I cant even protect my own wife or my own mother what good am I?The HIGH SPARROW enters the sept. JAIME takes TOMMEN by the shoulder.
JAIME,Go and see your mother and ask her to forgive you.JAIME and TOMMEN to address the HIGH SPARROW.
HIGH SPARROW,Your Grace. Lord Commander.
TOMMEN,I want to see my wife.
HIGH SPARROW,The gods wait for Queen Margaery to confess her crimes and seek their mercy. The king must wait as well.
JAIME,Go and see your mother Tommen.TOMMEN exits.
JAIME,Youre a bold man.
HIGH SPARROW,On the contrary. I fear a great deal. The Father the Mother the Warrior.The HIGH SPARROW approaches MYRCELLAs body.
HIGH SPARROW,Do you know why we use these stones? To remind us not to fear death. We close our eyes on this world and open them on the next.
JAIME,You must long for the next life.
HIGH SPARROW,In truth I fear that too.
JAIME,You imprisoned and humiliated my sister.
HIGH SPARROW,Your sister sought the gods mercy and atoned for her sin.
JAIME,What about my sins?JAIME approaches the HIGH SPARROW.
JAIME,I broke a sacred oath and stabbed my king in the back. I killed my own cousin. When the gods judged my brother guilty I helped him escape their justice. What atonement do I deserve?JAIME grips the hilt of his dagger and partially draws it.
HIGH SPARROW,You would spill blood in this holy place?
JAIME,Oh the gods wont mind. Theyve spilled more blood than the rest of us combined.
HIGH SPARROW,Go on then. I deserve it. We all do. We are weak vain creatures. We live only by the Mothers mercy.A great number of the Faith Militant encircle JAIME and the HIGH SPARROW on the steps of the sept.
JAIME,They should be closer if you mean for them to save you.
HIGH SPARROW,I dont. Theyd never reach me before you struck.
JAIME,Ive fought against worse odds.
HIGH SPARROW,No doubt many of us would fall. But who are we hmm? We have no names no family. Every one of us is poor and powerless. And yet together we can overthrow an empire.The HIGH SPARROW walks slowly away from JAIME.CUT TO: RED KEEP - CERSEIS CHAMBERCERSEI is looking over the balcony at Kings Landing. TOMMEN enters her chamber.
TOMMEN,Mother.CERSEI walks in from the balcony.
CERSEI,Did they put her in the red gown or the gold?
TOMMEN,Gold.
CERSEI,Good. It was always her color.CERSEI walks over to a side table and drinks a sip of wine. Her back is facing TOMMEN.
TOMMEN,Im sorry for keeping you here. I shouldnt have but I was -- I didnt want to lose you again.
CERSEI,I understand. Im glad to see you.
TOMMEN,I know I should have come sooner. I wanted to. I was wrong.
CERSEI,Its all right.
TOMMEN,No it isnt.CERSEI turns to face TOMMEN.TOMMEN: I should have executed all of them. I should have pulled down the sept onto the High Sparrows head before I let them do that to you as you would have for me. You raised me to be strong...and I wasnt. But I want to be. Help me.
CERSEI,Always.CERSEI and TOMMEN embrace.
EXT. MEEREEN GREAT PYRAMID - NIGHTThe golden statue previously knocked from the top of the pyramid lies in the sand at the foot of the pyramid.CUT TO,GREAT PYRAMID - ROYAL CHAMBERSTYRION VARYS MISSANDEI and GREY WORM are gathered together in council. TYRION pours himself a glass of wine. VARYS tsks at him.
TYRION,If I lost my cock Id drink all the time.TYRION looks at GREY WORM.
TYRION,Meaning no offense. He makes dwarf jokes I make eunuch jokes.
VARYS,I do not make dwarf jokes.
TYRION,You think them.VARYS sighs.
VARYS,So the fleet. Its been burned.
GREY WORM,We are searching for the men who burned the ships but nobody saw anything.
TYRION,Surely theres some good news lurking somewhere.
VARYS,Astapor and Yunkai have stopped asking us for aid.
TYRION,Perhaps they can tell us their secret.
VARYS,The Masters have retaken both cities. Outside of Meereen the whole of Slavers Bay has returned to the slavers.
TYRION,What about the dragons? We have two of them here beneath the pyramid.
MISSANDEI,They are not eating. They havent touched any food since Queen Daenerys left.
TYRION,Daenerys is the dragon queen. Cant very well let the dragons starve thats obvious.
GREY WORM,If a dragon does not want to eat how do you force him to eat?
TYRION,Dragons do not do well in captivity.
MISSANDEI,How do you know this?
TYRION,Thats what I do. I drink and I know things.TYRION finishes his glass of wine and walks over to the pitcher to pour himself another glass.
TYRION,The dragons Aegon used to conquer Westeros ranged over hundreds of miles. Then Daeneryss ancestors started chaining them up in pens. A few generations later the last dragons were no larger than cats. They must be unchained or theyll waste away. Missandei how many times were you in the company of these dragons?
MISSANDEI,Many times.
TYRION,And did they ever harm you?
MISSANDEI,Never.
TYRION,Dragons are intelligent. More intelligent than men according to some maesters. They have affection for their friends and fury for their enemies. I am their friend.
VARYS,Do they know that?
TYRION,They will. Its time they had their supper.CUT TO: MEEREEN - CATACOMBSTYRION and VARYS enter the dragons holding chamber bearing torches. TYRION begins walking slowly down the steps. VARYS remains at the top. When TYRION reaches the floor he pauses and stares into the darkness. Faint growling can be heard. TYRION stops and looks back at VARYS momentarily. RHAEGAL and VISERION emerge from the shadows. VISERION lights a fire in his mouth and roars at TYRION. RHAEGAL approaches with a small roar.
TYRION,Im friends with your mother. Im here to help. Dont eat the help.TYRION chuckles nervously. RHAEGAL growls at TYRION. TYRION approaches cautiously.
TYRION,When I was a child an uncle asked what gift I wanted for my name day. I begged him for one of you. <93>It wouldnt even have to be a big dragon <94> I told him. <93>It could be little like me.<94>TYRION sets down his torch and gets closer to RHAEGAL.
TYRION,Everyone laughed like it was the funniest thing they had ever heard. Then my father told me the last dragon had died a century ago. I cried myself to sleep that night.TYRION touches RHAEGAL on the neck.
TYRION,But here you are.TYRION takes hold of the piston keeping RHAEGALs shackle closed and pulls it free. The shackle falls the ground. TYRION turns around to see VISERION growling at him. VISERION exposes his neck to TYRION. TYRION approaches and releases the piston from VISERIONs shackle. RHAEGAL and VISERION return to the shadows. TYRION picks up his torch and hurries up the steps.
TYRION,Next time I have an idea like that punch me in the face.EXT. BRAAVOS COMMONS - DAYARYA is sitting on the ground against the wall of a street. The WAIF appears staff in hand.
WAIF,Whats your name?ARYA grabs her staff and rushes to her feet. The WAIF smacks ARYA in the face drawing blood. ARYA approaches the sound of the WAIFs voice but the WAIF has already moved to the side.
WAIF,Whats your name?
ARYA,No one.
WAIF,I dont believe that.ARYA swings her staff at the WAIF but misses. The WAIF hits ARYA in the side.
WAIF,You dont believe that.ARYA swings her staff at the WAIF again but misses again. The WAIF hits ARYAoin the other side. ARYA rushes towards the WAIF and trips on some steps falling to the ground. She grabs her staff and stands back up. The WAIF hits ARYA three more times knocking her to the ground on the third. ARYA stands up and swings at the WAIF again
JAQEN,Who are you?
ARYA,No one.
JAQEN,If a girl says her name a man will let her sleep under a roof tonight.
ARYA,A girl has no name.
JAQEN,If a girl says her name a man will feed her tonight.
ARYA,A girl has no name.
JAQEN,If a girl says her name a man will give her eyes back.
ARYA,A girl has no name.JAQEN releases ARYAs staff.
JAQEN,Come.ARYA turns around and walks to her beggar basket.
JAQEN,Leave it. A girl is not a beggar anymore.ARYA follows JAQEN.INT. WINTERFELL - DINING HALLROOSE RAMSAY and LORD KARSTARK are gathered at the dining table talking. RAMSAY and LORD KARSTARK are standing
LORD KARSTARK,He came upon the bodies on our way here.
ROOSE,Half a dozen men? Your best hunters?
RAMSAY,They obviously had help.
ROOSE,I didnt think lady Sansa killed them all by herself. Thank you for this report Lord Kastark.
RAMSAY,We know where shes going. Her brothers at Castle Black.
LORD KARSTARK,Ned Starks last surviving son?
ROOSE,Jon Snow is a bastard not a Stark.
RAMSAY,So was I Father.
LORD KARSTARK,Your hold on the North will never be secure as long as a Stark can walk through that door.
RAMSAY,Castle Black isnt defended on the southern side. And the few men left are barely men at all. Farm boys and thieves. With a small force we could storm the castle kill Jon Snow --
ROOSE,Murder the Lord Commander of the Nights Watch? Youd unite every house in the North against us.
RAMSAY,We dont need every house in the North. The Umbers the Manderlys and the Karstarks. command more soldiers than all the other houses combined. With their support none could challenge us.
LORD KARSTARK,The Starks lost my house the day King Rob cut off my fathers head. Its time for new blood in the North.ROOSE looks at both his son and lord Karstark. He gets up and stands in front of them.
ROOSE,If you acquire a reputation as a mad dog youll be treated as a mad dog. Taken out back and slaughtered for pig feed.MAESTER WOLKAN enters and interrupts them.
MAESTER WOLKAN,My lords. Lady Walda has given birth. A boy. Red-cheeked and healthy.
LORD KARSTARK,My congratulations Lord Bolton.RAMSAY steps towards his father. They hug.
RAMSEY,Congratulations Father. I look forward to meeting my new brother.ROOSE puts his hand on RAMSAYs shoulder.
ROOSE,Youll always be my firstborn.
RAMSAY,Thank you for saying that. It means a great deal to me.RAMSAY stabs ROOSE in the gut with a knife. ROOSE falls to the ground. ROOSE dies. RAMSAY steps away from ROOSE and cleans his knife.
RAMSAY,Maester Wolkan send ravens to all the Northern houses. Roose Bolton is dead. Poisoned by our enemies.MAESTER WOLKAN does not respond.
RAMSAY,How did he die?
MAESTER WOLKAN,Poisoned by his enemies.
LORD KARSTARK,You're talking to your lord. Use respect.
MAESTER WOLKAN,Forgive me my lord.
RAMSAY,Send for Lady Walda and the baby.
MAESTER WOLKAN,Shes resting my lord.RAMSAY glares at MAESTER WOLKAN.
MAESTER WOLKAN,At once my lord.RAMSAY looks down at ROOSE's body.CUT TO: WINTERFELL - COMMONSRAMSAY is standing alone. LADY WALDA walks to RAMSAY carrying her newborn son.
RAMSAY,There he is.
LADY WALDA,Isnt he wonderful?LADY WALDA shows RAMSAY her son.
RAMSEY,May I hold him?
LADY WALDA,Of course.RAMSAY takes the baby.
RAMSAY,Little brother.
LADY WALDA,Lord Bolton sent for us. Have you seen him?LADY WALDA reaches for the baby. RAMSAY hands the baby to her.
RAMSAY,Of course. Follow me Mother.RAMSAY and LADY WALDA walk to the kennel and enter. RAMSAY opens the gate. The dogs bark. RAMSAY closes the gate and locks it. LADY WALDA looks around.
LADY WALDA,Where is Lord Bolton?The dogs bark even louder.
RAMSAY,Down!The baby starts crying. LADY WALDA tries to soothe the baby.
LADY WALDA,Its all right. Come on shh.RAMSAY opens the door of a kennel.
LADY WALDA,Its cold out here Ramsay. I need to feed him.RAMSAY opens the doors of all the kennels one by one.
LADY WALDA,Ramsay where is your father? Ramsay? Where is Lord Bolton?RAMSAY walks back over to LADY WALDA.
RAMSAY,I am Lord Bolton.LADY WALDA looks at her baby.
LADY WALDA,Ramsay. Ramsay please. Ill leave Winterfell. Ill go back to the Riverlands. Please. Ramsay. Hes your brother.
RAMSEY,I prefer being an only child.RAMSEY whisles at the dogs. They exit their pens and attack LADY WALDA and the baby. LADY WALDA screams. The dogs kill them.EXT. NORTHERN WILDERNESS - DAYTHEON is gathering wood. He glances at SANSA and BRIENNE who are in conversation. PODRICK is making a fire.BRIENNE: I saw her with a man. I dont think he hurt her. She didnt want to leave him he didnt want to leave her.
SANSA,You dont know which way she went?
BRIENNE,I spent three days looking for her. She disappeared.
SANSA,How did she look?
BRIENNE,She looked good. She wasnt exactly dressed like a lady.SANSA smiles.
SANSA,No she wouldnt be.
BRIENNE,What happened at Winterfell?SANSA pauses and tears up.
SANSA,I shouldve gone with you while I had the chance.
BRIENNE,It was a difficult choice my lady.BRIENNE looks at THEON.
BRIENNE,Weve all had to make difficult choices.THEON stands up and walks away from PODRICK. SANSA stands and walks to THEON.
THEON,We shouldnt be lighting fires. Its not safe. He wont stop hunting us.
SANSA,We just have to make it to Castle Black. Once were with Jon Ramsay wont be able to touch us.
THEON,Jon will have me killed the moment I step through the gate.
SANSA,I wont let him. Ill tell him the truth about Bran and Rickon.
THEON,And the truth about the farm boys I killed in their place? The truth about Ser Rodrik who I beheaded?SANSA looks to the ground.
THEON,And the truth about Rob who I betrayed?
SANSA,When you take the black all your crimes are forgiven.
THEON,I dont want to be forgiven. I can never make amends to your family for all the things that Ive done. Theyll keep you safer than I ever could.
SANSA,Youre not coming with us?
THEON,I would have taken you all the way to the Wall. I would have died to get you there.SANSA hugs THEON. They both cry.
THEON,May I take one of the horses?
SANSA,Where will you go?
THEON,Home.EXT. PYKE CASTLE - NIGHTA storm is raging.CUT TO: PYKE CASTLE - GREAT HALLYARA and BALON are standing and speaking. BALON stands at the fireplace with his back to YARA.
YARA,The Glovers have retaken Deepwood Motte.
BALON,And the Ironborn who held it?
YARA,They died fighting to a man.
BALON,What is dead may never die.
YARA,What is dead may never die.YARA places the piece of paper she was reading from on a table.
YARA,But they did and our invasion died with them. Deepwood Motte was our last stronghold on the mainland.
BALON,They we will take more.
YARA,Why? For more pinecones and rocks?BALON turns around to face YARA.
BALON,Because I order it.
YARA,We can defeat anyone at sea but well never hold lands and castles against mainland armies.BALON walks to YARA.
BALON,Not if our captains defy my orders abandon their posts and sacrifice our men on foolish mission.
YARA,I wont apologize for trying to rescue Theon.
BALON,Then where is he?
YARA,Where is your kingdom? We took those castles because the northerners marched off to war. That war is over. The last time we provoked them too far I watched from that window as they breached our walls and knocked down our towers. I lost two brothers that day.
BALON,And I lost three sons. The War of the Five Kings they call it. Well the other four are dead. When you rule the Iron Islands you can wage all the peace you wan. But for now
BALON,Let me pass. You fool move aside for your king.
HOODED FIGURE,Havent I always brother?The hooded figure takes off his hood revealing his identity. He is EURON GREYJOY. BALON walks a few steps closer.
BALON,I thought youd be rotting under some foreign sea by now.
EURON,What is dead may never die.BALON does not respond.
EURON,Has the custom changed since Ive been gone? Arent you supposed to repeat the words?
BALON,You can mock our god without my help.
EURON,I dont mock the Drowned God. I am the Drowned God. From Oldtown to Qarth when men see my sails they pray.The wind buffets the bridge back and forth. BALON tries to hold his balance. EURON chuckles.
EURON,Youre old brother. You've had your time. Now let another rule.BALON walks towards his brother.
BALON,I heard you lost your mind during the storm on the Jade Sea. They tied you to the mast to keep you from jumping overboard.
EURON,They did.
BALON,And when the storm passed you cut out their tongues.
EURON,I needed silence.
BALON,What kind of an Ironborn loses his senses during a storm?EURON: I am the storm brother. The first storm and the last. And youre in my way.BALON draws a knife and slashes EURON across the face. EURON throws BALON off the bridge. BALON falls to his death.CUT TO: PYKE ISLAND BEACH - DAYMany Ironborn are in attendance for BALON's funeral. AERON GREYJOY and several Drowned Men are gathered around BALON's body. They are performing funeral rites covering it with rocks seaweed
AERON,Lord take your servant Balon back beneath the waves. Feed the creatures of your kingdom on his flesh. Pull his bones down to your depths to rest beside his ancestors and his children.
ALL,What is dead may never die.
YARA,Im going to find out who did this. Im going to feed them to the sharks while they live. I swear it by the Salt Throne.
AERON,The Salt Throne is not yours to swear upon not unless the kingsmoot chooses you.
YARA,My father wouldve wanted me to rule.
AERON,Your father does not get to choose. The law is clear. Perhaps you'll win. Perhaps youll be the first woman in history to rule the Ironborn. And perhaps not.
MELISANDRE,Come in.DAVOS enters.
DAVOS,I'm sorry my lady. I didnt mean to interrupt.
MELISANDRE,You interrupt nothing.DAVOS looks at the fireplace and then at MELISANDRE.
DAVOS,I assume you know why Im here.
MELISANDRE,I will after you tell me.
DAVOS,Its about the Lord Commander.
MELISANDRE,The former Lord Commander.
DAVOS,Does he have to be?MELISANDRE looks at DAVOS.
MELISANDRE,What are you asking?
DAVOS,Do you know of any magic...that could help him? Bring him back?
MELISANDRE,If you want to help him leave him be.
DAVOS,Can it be done?
MELISANDRE,There are some with his power.
DAVOS,How?
MELISANDRE,I dont know.
DAVOS,Have you seen it done?MELISANDRE: I met a man who came back from the dead but the priest who did it -- It shouldnt have been possible.
DAVOS,But it was. It could be now.
MELISANDRE,Not for me.MELISANDRE stands and walks away from her chair. DAVOS walks towards her.
DAVOS,Not for you? I saw you drink poison that shouldve killed you. I saw you give birth to a demon made of shadows.
MELISANDRE,Everything I believed the great victory I saw in the flames all of it was a lie.MELISANDRE looks at DAVOS.
MELISANDRE,You were right all along. The Lord never spoke to me.
DAVOS,Fuck him then. Fuck all of them. Im not a devout man obviously. Seven Gods drowned gods
DAVOS,Im not asking the Lord of Light for help.Im asking the woman who showed me that miracles exist.
MELISANDRE,I never had this gift.
DAVOS,Have you ever tried?CUT TO: CASTLE BLACK - ROOMDAVOS TORMUND DOLOROUS EDD and MELISANDRE are gathered around JON SNOW's body. GHOST is sleeping on the floor. MELISANDRE is performing a ritual on JON SNOW's body. She wrings out a wet cloth with which she cleans out the wounds of JON SNOW. She cuts his hair and beard and throws the hairs in a firepit. Then she places her hands on JON SNOW's chest and utters an incantation in Valyrian. She sighs.
MELISANDRE,Please.MELISANDRE lets her hands down slowly. She has tears in her eyes and looks to DAVOS. TORMUND scoffs and exits followed by MELISANDRE and DOLOROUS EDD. DAVOS lingers and stares at JON SNOW's body but eventually exits. GHOST suddenly wakes up and looks at JON SNOW. JON SNOW's eyes snap open and he gasps for breath.
DAVOS,Easy easy. Easy.DAVOS ushers JON SNOW back into a sitting position. MELISANDRE enters and stares at JON SNOW.
DAVOS,What do you remember?
JON SNOW,They stabbed me. Olly...he put a knife in my heart. I shouldnt be here.
DAVOS,The lady brought you back.MELISANDRE approaches JON SNOW and kneels in front of him.MELISANDRE: Afterwards after they stabbed you after you died
JON SNOW,Nothing. There was nothing at all.
MELISANDRE,The Lord let you come back for a reason. Stannis was not the prince who was promised but someone has to be.
DAVOS,Could you give us a moment?MELISANDRE rises and exits the room. DAVOS closes the door behind her grabs a stool and sits down in front of JON SNOW.
DAVOS,You were dead. And now youre not. Thats completely fucking mad seems to me. I can only imagine how it seems to you.
JON SNOW,I did what I thought was right. And I got murdered for it. And now Im back. Why?
DAVOS,I dont know. Maybe well never know. What does it matter? You go on. You fight for as long as you can. You clean up as much of the shit as you can.
JON SNOW,I dont know how to do that. I thought I did but...I failed.
DAVOS,Good. Now go fail again.CUT TO: CASTLE BLACK - COURTYARDDOLOROUS EDD TORMUND the faithful Nights Watch members
TORMUND,They think youre some kind of god. The man who returned from the dead.
JON SNOW,Im not a god.
TORMUND,I know that.TORMUND moves closer to JON SNOW and whispers in his ear.
TORMUND,I saw your pecker. What kind of god would have a pecker that small?JON SNOW and TORMUND both chuckle and embrace. JON SNOW winces then spies DOLOROUS EDD and begins walking towards him. They embrace and JON SNOW winces again.
DOLOROUS EDD,Your eyes are still brown. Is that still you in there?
JON SNOW,I think so. Hold off on burning my body for now.DOLOROUS EDD laughs.
DOLOROUS EDD,Thats funny. You sure thats still you in there?Both men laugh.
EXT. VESSEL ON NARROW SEA - NIGHTA storm is raging causing rough wind and water to buffet the vessel back and forth. GILLY peers out at the storm through a window in the hull of the ship and smiles.CUT TO,VESSEL - HOLDGILLY is sitting on the edge of a cot with LITTLE SAM. Various crewmembers are going about their business. SAMWELL is huddled over a bucket quivering. He groans and gags. GILLY approaches him.
GILLY,You all right?
SAMWELL,Yes. Yes Im fine.
GILLY,Did I ever tell you I used to think the sea was called the see because it was nothing but water as far as the eye could see?
SAMWELL,I dont think so.
GILLY,Sea see. Theyre spelled different but they sound the same.
SAMWELL,Yeah they do.
GILLY,It was before I learned how to read obviously.SAMWELL scrunches up his face.
GILLY,Sam are you going to be sick?SAMWELL shakes his head and then vomits into the bucket. GILLY retrieves a water skin and hands it to SAMWELL. He washes out his mouth with water.
GILLY,Wont be long. Well be in the south soon. Im excited to see Oldtown. Captain says its the most beautiful city in Westeros. Are you going to vomit again?
SAMWELL,No. No no no. The Citadel doesnt admit women. There wont be a place for you there or for Little Sam.
GILLY,I stayed at Castle Black. Theres no women allowed there.
SAMWELL,The Citadel isnt Castle Black. I dont have a Jon Snow or a Maester Aemon to help me bend the rules.
GILLY,Ill stay in Oldtown then.
SAMWELL,By yourself? With a baby and no money?GILLY stands.
GILLY,So if were not going to Oldtown where are you taking me?
SAMWELL,To my home. Horn Hill. My fathers -- well my father but my mothers a kind woman and my sisters lovely. Theyll take care of you both.
GILLY,<93>Wherever you go I go too.<94> Thats what you said.GILLY returns to LITTLE SAM and sits down on the cot. SAMWELL rises and follows her.
SAMWELL,I said that because I want you and Little Same to be safe. Thats all I want -- to become a maester so I can help Jon when the time comes so youll be safe
GILLY,Us and everyone else in the world.
SAMWELL,I dont care about them. Well no I do
GILLY,I know that Sam. And he does too. You're the only one who ever has.GILLY places her hand on SAMWELLs back.
GILLY,If you think its for the best we trust you.
SAMWELL,Id feel better if you threw something at me and stormed off.
GILLY,Id never do that to the father of my son.SAMWELL smiles and looks at LITTLE SAM then vomits into a bucket and coughs.
BRAN,Thats my father.
THREE-EYED RAVEN,The man beside him is Howland Reed Meeras father.The Kingsguard walk past BRAN and THREE-EYED RAVEN.
BRAN,Ser Arthur Dayne.
THREE-EYED RAVEN,The Sword of the Morning.
